 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
           127 ┊     0.13% ┊ elrond_codec::top_de::TopDecode::top_decode_boxed::{{closure}}::h7b8853bca7c8bdf9
           127 ┊     0.13% ┊ load_map3
           123 ┊     0.13% ┊ store_vec_u8
           123 ┊     0.13% ┊ store_reserved_vec_u8
           120 ┊     0.13% ┊ elrond_codec::top_ser::top_encode_to_vec::h44db9f7a39add8ba
           118 ┊     0.12% ┊ <u16 as elrond_codec::nested_de::NestedDecode>::dep_decode::h1ca0a5f47bf976c1
           118 ┊     0.12% ┊ <u64 as elrond_codec::nested_de::NestedDecode>::dep_decode::h0c6823920a1809e1
           118 ┊     0.12% ┊ <i64 as elrond_codec::nested_de::NestedDecode>::dep_decode::hd6d2404c0374af0f
           118 ┊     0.12% ┊ store_big_int
           118 ┊     0.12% ┊ <&mut W as core::fmt::Write>::write_fmt::h61b5701e553039f7
           117 ┊     0.12% ┊ <wee_alloc::LargeAllocPolicy as wee_alloc::AllocPolicy>::new_cell_for_free_list::h1313183b8eff36f4
           116 ┊     0.12% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h688e82ccbef3c0bb
           115 ┊     0.12% ┊ non_zero_usize_macro
           115 ┊     0.12% ┊ core::fmt::Write::write_fmt::hffeae4bfb3e2780f
           113 ┊     0.12% ┊ elrond_codec::nested_de_input::NestedDecodeInput::read_byte::h2d49dc412f0ae2f9
           110 ┊     0.12% ┊ elrond_wasm::io::signal_error::SignalError::signal_arg_de_error::hae2d59367c95e868
           110 ┊     0.12% ┊ elrond_wasm::io::signal_error::SignalError::signal_arg_de_error::h955da2c17d1c1d48
           110 ┊     0.12% ┊ alloc::raw_vec::RawVec<T,A>::allocate_in::h93352a72c7e31e68
           110 ┊     0.12% ┊ elrond_wasm::io::macro_helpers::load_single_arg::h34f62bbd4780ce4b
           110 ┊     0.12% ┊ load_vec_u8
           106 ┊     0.11% ┊ <elrond_wasm::storage::storage_get::StorageGetInput<A,BigInt,BigUint> as elrond_codec::top_de_input::TopDecodeInput>::into_boxed_slice_u8::he6c91d1971334493
           102 ┊     0.11% ┊ <elrond_wasm::io::arg_de_input::ArgDecodeInput<A,BigInt,BigUint> as elrond_codec::top_de_input::TopDecodeInput>::into_boxed_slice_u8::h53b3d97987077031
            99 ┊     0.10% ┊ elrond_codec::transmute::boxed_slice_into_vec::h6397d4deec3b8d3d
            97 ┊     0.10% ┊ core::alloc::layout::Layout::pad_to_align::h376bd96ef7a67750
            97 ┊     0.10% ┊ vec_concat_const
            96 ┊     0.10% ┊ return_error
            92 ┊     0.10% ┊ elrond_codec::top_de::TopDecode::top_decode_boxed::{{closure}}::ha596ccb083f7de9c
            90 ┊     0.10% ┊ echo_h256
            88 ┊     0.09% ┊ <u32 as elrond_codec::nested_ser::NestedEncode>::dep_encode_to::h332a9658b8cfb0ac
            88 ┊     0.09% ┊ echo_ser_example_2
            86 ┊     0.09% ┊ echo_isize
            84 ┊     0.09% ┊ alloc::slice::<impl [T]>::to_vec::haa16a6987612c9ef
            82 ┊     0.09% ┊ elrond_wasm::storage::storage_get::storage_get_error::hee71dceb35fa4d73
            80 ┊     0.08% ┊ <elrond_wasm::types::sc_error::SCError as core::convert::From<&[u8]>>::from::h915f8cdb544e6b71
            80 ┊     0.08% ┊ echo_i8
            78 ┊     0.08% ┊ <T as elrond_wasm::io::finish::EndpointResult<A,BigInt,BigUint>>::finish::h8dda834d4588efa6
            78 ┊     0.08% ┊ load_usize
            76 ┊     0.08% ┊ elrond_codec::num_conv::bytes_to_number::h988ef67a9dff6b5c
            76 ┊     0.08% ┊ <T as core::convert::Into<U>>::into::hd428c5b63352f6c8
            76 ┊     0.08% ┊ shr_big_uint_ref
            76 ┊     0.08% ┊ shl_big_uint_ref
            76 ┊     0.08% ┊ bcmp
            75 ┊     0.08% ┊ custom section 'producers'
            74 ┊     0.08% ┊ <u16 as elrond_codec::nested_ser::NestedEncode>::dep_encode_to::h45261dbe47144ce7
            74 ┊     0.08% ┊ <T as elrond_wasm::io::finish::EndpointResult<A,BigInt,BigUint>>::finish::h3130505844faefb2
            74 ┊     0.08% ┊ echo_u8
            74 ┊     0.08% ┊ shr_assign_big_uint
            74 ┊     0.08% ┊ shr_assign_big_uint_ref
            74 ┊     0.08% ┊ shl_assign_big_uint
            74 ┊     0.08% ┊ shl_assign_big_uint_ref
            73 ┊     0.08% ┊ <core::num::NonZeroUsize as elrond_codec::top_de::TopDecode>::top_decode::{{closure}}::h770bd688d2190652
            72 ┊     0.08% ┊ alloc::vec::from_elem::he2cf3ced2f2d859a
            71 ┊     0.08% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h2cef0762dc3d6651
            70 ┊     0.07% ┊ alloc::boxed::Box<[T]>::new_uninit_slice::he472c68b8b113818
            68 ┊     0.07% ┊ add_big_int
            68 ┊     0.07% ┊ add_big_int_ref
            68 ┊     0.07% ┊ add_big_uint
            68 ┊     0.07% ┊ add_big_uint_ref
            68 ┊     0.07% ┊ sub_big_int
            68 ┊     0.07% ┊ sub_big_int_ref
            68 ┊     0.07% ┊ sub_big_uint
            68 ┊     0.07% ┊ sub_big_uint_ref
            68 ┊     0.07% ┊ mul_big_int
            68 ┊     0.07% ┊ mul_big_int_ref
            68 ┊     0.07% ┊ mul_big_uint
            68 ┊     0.07% ┊ mul_big_uint_ref
            68 ┊     0.07% ┊ div_big_int
            68 ┊     0.07% ┊ div_big_int_ref
            68 ┊     0.07% ┊ div_big_uint
            68 ┊     0.07% ┊ div_big_uint_ref
            68 ┊     0.07% ┊ rem_big_int
            68 ┊     0.07% ┊ rem_big_int_ref
            68 ┊     0.07% ┊ rem_big_uint
            68 ┊     0.07% ┊ rem_big_uint_ref
            68 ┊     0.07% ┊ add_assign_big_int
            68 ┊     0.07% ┊ add_assign_big_int_ref
            68 ┊     0.07% ┊ add_assign_big_uint
            68 ┊     0.07% ┊ add_assign_big_uint_ref
            68 ┊     0.07% ┊ sub_assign_big_int
            68 ┊     0.07% ┊ sub_assign_big_int_ref
            68 ┊     0.07% ┊ sub_assign_big_uint
            68 ┊     0.07% ┊ sub_assign_big_uint_ref
            68 ┊     0.07% ┊ mul_assign_big_int
            68 ┊     0.07% ┊ mul_assign_big_int_ref
            68 ┊     0.07% ┊ mul_assign_big_uint
            68 ┊     0.07% ┊ mul_assign_big_uint_ref
            68 ┊     0.07% ┊ div_assign_big_int
            68 ┊     0.07% ┊ div_assign_big_int_ref
            68 ┊     0.07% ┊ div_assign_big_uint
            68 ┊     0.07% ┊ div_assign_big_uint_ref
            68 ┊     0.07% ┊ rem_assign_big_int
            68 ┊     0.07% ┊ rem_assign_big_int_ref
            68 ┊     0.07% ┊ rem_assign_big_uint
            68 ┊     0.07% ┊ rem_assign_big_uint_ref
            68 ┊     0.07% ┊ bit_and_big_uint
            68 ┊     0.07% ┊ bit_and_big_uint_ref
            68 ┊     0.07% ┊ bit_or_big_uint
            68 ┊     0.07% ┊ bit_or_big_uint_ref
            68 ┊     0.07% ┊ bit_xor_big_uint
            68 ┊     0.07% ┊ bit_xor_big_uint_ref
            68 ┊     0.07% ┊ bit_and_assign_big_uint
            68 ┊     0.07% ┊ bit_and_assign_big_uint_ref
            68 ┊     0.07% ┊ bit_or_assign_big_uint
            68 ┊     0.07% ┊ bit_or_assign_big_uint_ref
            68 ┊     0.07% ┊ bit_xor_assign_big_uint
            68 ┊     0.07% ┊ bit_xor_assign_big_uint_ref
            67 ┊     0.07% ┊ elrond_wasm::io::macro_helpers::load_single_arg::h8b4ad51d0ed0e3c2
            66 ┊     0.07% ┊ <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::index_mut::hcc4f521e7c635580
            66 ┊     0.07% ┊ <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::index::ha9da4be5390cb65c
            65 ┊     0.07% ┊ elrond_wasm::storage::storage_get::storage_get::h0d65c4b43e501ac2
            65 ┊     0.07% ┊ elrond_wasm::io::macro_helpers::load_single_arg::hecc9d222941a154e
            63 ┊     0.07% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h5c570865a46ac763
            63 ┊     0.07% ┊ store_addr
            63 ┊     0.07% ┊ core::slice::<impl core::ops::index::Index<I> for [T]>::index::h672343e79ff36b55
            63 ┊     0.07% ┊ core::slice::<impl core::ops::index::Index<I> for [T]>::index::h27166e9c00867dee
            62 ┊     0.07% ┊ shr_big_uint
            62 ┊     0.07% ┊ shl_big_uint
            61 ┊     0.06% ┊ <alloc::boxed::Box<T> as elrond_codec::top_ser::TopEncode>::top_encode::hfd8cc6f3e7b853d7
            61 ┊     0.06% ┊ elrond_wasm::io::macro_helpers::load_single_arg::h6107618a752bf2a6
            60 ┊     0.06% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h41db1aab70683508
