 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
           118 ┊     0.13% ┊ <&mut W as core::fmt::Write>::write_fmt::h2a25161c18f161b7
           117 ┊     0.13% ┊ <wee_alloc::LargeAllocPolicy as wee_alloc::AllocPolicy>::new_cell_for_free_list::h9e1e58e2be45ed9a
           115 ┊     0.13% ┊ core::fmt::Write::write_fmt::h23d192e8750b9614
           109 ┊     0.12% ┊ proposeChangeQuorum
           108 ┊     0.12% ┊ <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::h6a6d5c08b7d71cca
           107 ┊     0.12% ┊ proposeAddBoardMember
           107 ┊     0.12% ┊ proposeAddProposer
           107 ┊     0.12% ┊ proposeRemoveUser
           106 ┊     0.12% ┊ <elrond_wasm::storage::storage_get::StorageGetInput<SRA> as elrond_codec::top_de_input::TopDecodeInput>::into_boxed_slice_u8::h0f21deb6a3276799
           106 ┊     0.12% ┊ core::alloc::layout::Layout::array::hd56696d90596e08f
           105 ┊     0.11% ┊ elrond_wasm_node::api::big_uint_api_node::ArwenBigUint::unsafe_buffer_load_be_pad_right::h12bd0c19835b6f3e
           104 ┊     0.11% ┊ elrond_wasm::hex_call_data::cd_ser::HexCallDataSerializer::new::hc06dab89088c2091
           103 ┊     0.11% ┊ <elrond_wasm_node::api::big_uint_api_node::ArwenBigUint as elrond_wasm::api::big_uint_api::BigUintApi>::to_bytes_be::h3b3e49fd6863b866
           102 ┊     0.11% ┊ <elrond_wasm::io::arg_de_input::ArgDecodeInput<AA> as elrond_codec::top_de_input::TopDecodeInput>::into_boxed_slice_u8::h96115c9ece94d8f0
           102 ┊     0.11% ┊ getUserAddress
           101 ┊     0.11% ┊ getUserId
            97 ┊     0.11% ┊ core::alloc::layout::Layout::pad_to_align::h68fb14161fee491b.125
            97 ┊     0.11% ┊ getActionSignerCount
            94 ┊     0.10% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h77bf09402682b81c
            93 ┊     0.10% ┊ alloc::slice::<impl [T]>::to_vec::h7603de30cbf1fe09
            93 ┊     0.10% ┊ alloc::slice::<impl [T]>::to_vec::h910de97d6d01883f
            93 ┊     0.10% ┊ <elrond_wasm::types::general::boxed_bytes::BoxedBytes as elrond_codec::nested_de::NestedDecode>::dep_decode_or_exit::h072a634c736468ad
            92 ┊     0.10% ┊ <elrond_wasm_module_users::UsersModuleImpl<T,BigInt,BigUint> as elrond_wasm_module_users::UsersModule<T,BigInt,BigUint>>::set_user_address::h8cbfe6cc28602c81
            91 ┊     0.10% ┊ <elrond_wasm::types::general::h256::H256 as elrond_codec::top_de::TopDecode>::top_decode_or_exit::h65ddbf84f9b432b3
            91 ┊     0.10% ┊ <elrond_wasm_node::api::big_uint_api_node::ArwenBigUint as elrond_codec::nested_de::NestedDecode>::dep_decode_or_exit::h8871ee03d4781492
            90 ┊     0.10% ┊ core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::RangeInclusive<A>>::next::h77f6ce1e2b2ea760
            89 ┊     0.10% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::is_empty_action_data::h0174d935471fbac7
            88 ┊     0.10% ┊ <u32 as elrond_codec::nested_ser::NestedEncodeNoErr>::dep_encode_no_err::hea2dd467943cefec
            88 ┊     0.10% ┊ <elrond_wasm_module_users::UsersModuleImpl<T,BigInt,BigUint> as elrond_wasm_module_users::UsersModule<T,BigInt,BigUint>>::get_user_id::h4c3e2d9267588ce4
            88 ┊     0.10% ┊ <elrond_wasm_module_users::UsersModuleImpl<T,BigInt,BigUint> as elrond_wasm_module_users::UsersModule<T,BigInt,BigUint>>::set_user_id::ha5bdb655f3294dcb
            86 ┊     0.09% ┊ <elrond_wasm_node::api::big_uint_api_node::ArwenBigUint as elrond_codec::nested_ser::NestedEncode>::dep_encode_or_exit::hbd4aacb9d18ed528
            85 ┊     0.09% ┊ elrond_wasm::types::interaction::arg_buffer::ArgBuffer::push_argument_bytes::hffe6b35fb7318cf2
            82 ┊     0.09% ┊ getActionValidSignerCount
            82 ┊     0.09% ┊ quorumReached
            80 ┊     0.09% ┊ <alloc::boxed::Box<[T]> as core::convert::From<&[T]>>::from::h844d77a71652287c
            79 ┊     0.09% ┊ <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::h34141f4ddc64ca7f
            75 ┊     0.08% ┊ custom section 'producers'
            74 ┊     0.08% ┊ getAllBoardMembers
            74 ┊     0.08% ┊ getAllProposers
            73 ┊     0.08% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h16bed3fd099e292d
            73 ┊     0.08% ┊ <T as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::h0396a63f7bd05f22
            72 ┊     0.08% ┊ <usize as elrond_codec::nested_de::NestedDecode>::dep_decode_or_exit::hba97db9432960dbc
            71 ┊     0.08% ┊ <alloc::alloc::Global as core::alloc::Allocator>::allocate::hf4749d5beca6fea0
            70 ┊     0.08% ┊ alloc::vec::Vec<T,A>::push::h7311cb5ec0ac74c8
            69 ┊     0.08% ┊ <elrond_wasm::types::general::boxed_bytes::BoxedBytes as core::convert::From<&[u8]>>::from::haaf89ca80a1546fe.123
            69 ┊     0.08% ┊ core::ptr::drop_in_place<alloc::vec::Vec<elrond_wasm::types::general::h256_address::Address>>::h2ba6d2560c576e95
            67 ┊     0.07% ┊ alloc::vec::Vec<T,A>::push::hd66e9a5d3741085c
            65 ┊     0.07% ┊ elrond_codec::nested_de_input::NestedDecodeInput::read_byte_or_exit::hcdedcf9ef5fad9e0
            60 ┊     0.07% ┊ alloc::alloc::Global::alloc_impl::haec75c4b9541bf69
            59 ┊     0.06% ┊ __rg_realloc
            58 ┊     0.06% ┊ <elrond_wasm::types::io::multi_result_vec::MultiResultVec<T> as elrond_wasm::io::finish::EndpointResult<FA>>::finish::heb67935cab2d6139
            57 ┊     0.06% ┊ elrond_codec::num_conv::bytes_to_number::h1c6d674dc5f1439f
            56 ┊     0.06% ┊ <u8 as elrond_codec::nested_ser::NestedEncodeNoErr>::dep_encode_no_err::h28e977633c533cc3
            56 ┊     0.06% ┊ <&T as elrond_codec::nested_ser::NestedEncode>::dep_encode_or_exit::hc1ebc5c420d24bde
            56 ┊     0.06% ┊ <T as core::slice::cmp::SliceContains>::slice_contains::hc291ad27c9ba2c1e
            56 ┊     0.06% ┊ memcpy
            54 ┊     0.06% ┊ custom section '.debug_pubtypes'
            53 ┊     0.06% ┊ <usize as elrond_codec::top_de::TopDecode>::top_decode_or_exit::h126c5f5a60e2ea0d
            51 ┊     0.06% ┊ <elrond_wasm::io::dyn_arg_input_endpoint::EndpointDynArgLoader<AA> as elrond_wasm::io::dyn_arg_input::DynArgInput<elrond_wasm::io::arg_de_input::ArgDecodeInput<AA>>>::next_arg_input::h7caaeb26ac2b6b77
            51 ┊     0.06% ┊ <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop::hab84c7dd922802d6
            50 ┊     0.05% ┊ <elrond_wasm::types::interaction::async_call::AsyncCall<BigUint> as elrond_wasm::io::finish::EndpointResult<FA>>::finish::heeb033cb1ad7ed80
            49 ┊     0.05% ┊ alloc::vec::Vec<T,A>::extend_from_slice::h0f150a12b9341b50
            48 ┊     0.05% ┊ <elrond_wasm::types::io::sc_result::SCResult<T> as elrond_wasm::io::finish::EndpointResult<FA>>::finish::h398c03d019ef1dea
            47 ┊     0.05% ┊ elrond_wasm_node::api::send_api_node::<impl elrond_wasm::api::send_api::SendApi<elrond_wasm_node::api::big_uint_api_node::ArwenBigUint> for elrond_wasm_node::ArwenApiImpl>::storage_store_tx_hash_key::hcdeca26465e419d6
            47 ┊     0.05% ┊ <alloc::alloc::Global as core::alloc::Allocator>::allocate::hf4749d5beca6fea0.127
            46 ┊     0.05% ┊ core::ptr::drop_in_place<[elrond_wasm::types::general::boxed_bytes::BoxedBytes]>::h46985007c14939ce
            46 ┊     0.05% ┊ memset
            44 ┊     0.05% ┊ <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop::h8f9e05f8e6e3334a
            44 ┊     0.05% ┊ <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop::h225d7e578323af99
            41 ┊     0.04% ┊ <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop::h480522403f02b9ea
            40 ┊     0.04% ┊ core::cmp::PartialOrd::le::h06c54af252ae78c6
            40 ┊     0.04% ┊ data[1]
            37 ┊     0.04% ┊ __rg_alloc_zeroed
            37 ┊     0.04% ┊ alloc::raw_vec::handle_reserve::h3bcad6be72268c8c.129
            36 ┊     0.04% ┊ elem[0]
            36 ┊     0.04% ┊ <elrond_wasm::types::general::boxed_bytes::BoxedBytes as elrond_codec::nested_ser::NestedEncode>::dep_encode_or_exit::h40d6f1eb0f64db13
            35 ┊     0.04% ┊ import env::smallIntStorageStoreUnsigned
            34 ┊     0.04% ┊ import env::smallIntStorageLoadUnsigned
            34 ┊     0.04% ┊ import env::smallIntGetUnsignedArgument
            34 ┊     0.04% ┊ elrond_wasm_node::api::send_api_node::<impl elrond_wasm::api::send_api::SendApi<elrond_wasm_node::api::big_uint_api_node::ArwenBigUint> for elrond_wasm_node::ArwenApiImpl>::async_call_raw::h6ac945864c36944c
            34 ┊     0.04% ┊ multisig::Multisig::clear_action::h34f27bf4e3152322
            33 ┊     0.04% ┊ elrond_wasm::api::endpoint_arg_api::EndpointArgumentApi::check_num_arguments::h6a19fec211f91067
            33 ┊     0.04% ┊ <elrond_wasm::types::io::sc_result::SCResult<T> as elrond_wasm::io::finish::EndpointResult<FA>>::finish::h1449676c2ae8eb5a
